municipio,riqueza_palmas,bosque_pct,agro_pct,alertas_2017,alertas_2018,alertas_2019,alertas_2020,alertas_2021,alertas_2022,alertas_2023,alertas_2024,alertas_2025,alertas_total
Soatá,1,0.0,100.0,0,0,0,0,0,0,0,0,0,0
Sotaquirá,1,100.0,0.0,0,0,0,0,0,4,0,0,0,4
Subachoque,1,100.0,0.0,0,0,0,0,0,0,0,0,0,0
Supatá,1,0.0,100.0,0,0,0,0,0,0,0,0,0,0
Suratá,1,100.0,0.0,0,0,0,0,0,2,3,0,1,6
Tame,1,100.0,0.0,16,3,13,22,15,10,12,25,164,280
Tarazá,1,0.0,100.0,82,61,18,7,7,88,30,25,9,327
Belén de Los Andaquíes,1,0.0,100.0,34,15,123,17,27,56,42,57,55,426
Betania,1,100.0,0.0,0,0,0,0,0,0,2,0,0,2
Bochalema,1,100.0,0.0,1,0,0,0,0,4,1,2,0,8
Bojacá,1,0.0,100.0,0,0,0,0,0,0,0,0,0,0
Bolívar,1,100.0,0.0,6,2,22,39,27,120,113,80,164,573
Boyacá,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0
Buenaventura,1,100.0,0.0,63,24,5,18,28,152,136,51,63,540
Buenavista,1,0.0,100.0,0,0,0,0,1,0,0,0,0,1
Buga,1,50.0,41.67,0,0,0,0,0,0,0,0,0,0
Bugalagrande,1,0.0,100.0,0,11,0,0,0,0,0,0,0,11
Caicedo,1,100.0,0.0,0,0,1,2,0,0,2,0,0,5
Tarqui,1,0.0,100.0,0,0,0,0,0,0,0,0,0,0
Tenerife,1,50.0,0.0,0,0,4,1,0,0,2,0,0,7
Tenjo,1,0.0,100.0,1,0,0,0,0,0,0,0,0,1
Tibú,1,0.0,0.0,518,935,1912,1581,1063,1045,2173,1880,1550,12657
Tiquisio,1,0.0,100.0,2,0,36,25,18,28,139,37,6,291
Tocaima,1,0.0,100.0,0,0,0,0,0,0,0,0,0,0
Toluviejo,1,0.0,100.0,0,1,1,0,0,7,7,2,0,18
Tota,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0
Arboledas,1,100.0,0.0,0,0,2,0,2,9,9,6,1,29
Arboletes,1,0.0,100.0,0,0,2,0,0,0,0,0,0,2
Ayapel,1,0.0,100.0,0,0,0,0,0,1,0,0,0,1
Bajo Baudó,1,100.0,0.0,94,244,49,39,21,16,152,26,43,684
Balboa,1,50.0,50.0,3,0,1,0,0,0,1,1,7,13
Barbosa,1,0.0,100.0,0,0,0,0,0,0,0,0,0,0
Barranca de Upía,1,60.0,20.0,0,0,1,0,0,0,0,0,0,1
Becerril,1,0.0,100.0,14,0,1,1,2,0,11,2,1,32
Belalcazar,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0
Támara,1,50.0,50.0,11,2,3,0,6,8,14,0,90,134
Ulloa,1,0.0,100.0,0,0,0,0,0,0,0,0,0,0
Unión Panamericana,1,0.0,0.0,11,4,0,0,1,12,19,0,5,52
Uribe,1,100.0,0.0,282,466,248,135,321,288,210,1942,1471,5363
Urrao,1,25.0,75.0,131,14,13,1,0,50,38,77,177,501
Valledupar,1,100.0,0.0,98,129,52,47,10,73,84,89,48,630
Vergara,1,0.0,100.0,1,0,0,0,0,0,0,0,0,1
Yumbo,1,0.0,100.0,0,0,0,0,0,0,0,0,0,0
Abejorral,1,100.0,0.0,0,0,0,0,0,0,3,0,0,3
