municipio,riqueza_palmas,bosque_pct,agro_pct,alertas_2017,alertas_2018,alertas_2019,alertas_2020,alertas_2021,alertas_2022,alertas_2023,alertas_2024,alertas_2025,alertas_total,pred_alertas_2026
Calima,1,50.0,50.0,2,0,0,0,1,8,1,2,7,21,2.585
Tenerife,1,50.0,0.0,0,0,4,1,0,0,2,0,0,7,2.23
Trujillo,2,100.0,0.0,1,8,0,1,0,0,2,0,0,12,2.1933333333333334
Paya,1,100.0,0.0,6,0,1,0,0,3,0,0,4,14,2.0890952380952386
Zapatoca,3,22.22,22.22,0,0,1,0,2,2,4,3,4,16,1.9266666666666667
La Primavera,1,100.0,0.0,0,0,2,0,0,0,0,0,0,2,1.7209087301587298
Nariño,1,100.0,0.0,2,0,2,0,0,0,2,0,0,6,1.6415476190476188
San Pedro de Urabá,3,77.78,22.22,0,0,1,2,0,0,0,0,0,3,1.6133333333333333
Ibagué,1,49.35,44.16,3,0,0,0,2,0,0,0,5,10,1.5801666666666667
Aguazul,1,100.0,0.0,1,0,0,0,0,2,0,9,7,19,1.51
Sotaquirá,1,100.0,0.0,0,0,0,0,0,4,0,0,0,4,1.3525014430014433
Cravo Norte,1,100.0,0.0,4,0,1,1,0,0,0,0,0,6,1.2770992063492062
Gámbita,3,28.57,42.86,4,0,0,0,3,6,0,2,2,17,1.2328333333333334
Suratá,1,100.0,0.0,0,0,0,0,0,2,3,0,1,6,1.1375093795093798
Norcasia,6,5.88,94.12,1,0,0,0,5,0,1,2,0,9,1.12
Charalá,1,100.0,0.0,1,0,0,0,0,4,4,6,0,15,1.095
Floridablanca,1,100.0,0.0,0,0,0,0,0,2,0,0,0,2,0.9995014430014428
Acevedo,1,100.0,0.0,7,0,0,0,0,2,0,0,0,9,0.9995014430014428
Piojó,1,0.0,100.0,0,0,1,0,0,5,0,0,0,6,0.9533333333333334
Liborina,1,100.0,0.0,1,0,0,0,0,1,0,0,0,2,0.9031681096681096
Suaita,4,81.25,18.75,1,0,0,0,1,2,0,0,1,5,0.8868888888888891
Pitalito,2,100.0,0.0,0,0,0,0,0,4,0,0,0,4,0.8766666666666667
Tona,5,84.21,15.79,1,0,1,0,0,2,0,0,0,4,0.86
Mariquita,1,0.0,33.33,0,0,0,1,0,0,0,0,3,4,0.8492301587301586
Campohermoso,1,100.0,0.0,0,0,0,1,0,0,0,0,1,2,0.8366839826839826
Santo Domingo,1,0.0,100.0,0,0,2,0,1,0,0,0,0,3,0.8244444444444444
Colombia,1,100.0,0.0,10,1,0,0,1,0,0,0,0,12,0.8084523809523809
Puerto Triunfo,4,18.6,81.4,0,0,1,0,0,2,1,0,1,5,0.781888888888889
Piedecuesta,2,50.0,50.0,0,0,0,0,0,1,1,1,1,4,0.7766666666666666
Bochalema,1,100.0,0.0,1,0,0,0,0,4,1,2,0,8,0.7736666666666666
Concordia,1,100.0,0.0,0,0,0,0,0,1,1,0,0,2,0.7711323953823953
Villa Caro,1,100.0,0.0,0,0,0,0,1,0,2,3,0,6,0.7555396825396825
Nunchía,1,100.0,0.0,3,0,0,0,0,1,0,0,1,5,0.7411085858585856
Inzá,1,100.0,0.0,1,0,0,0,0,0,0,0,0,1,0.7340490620490616
Ansermanuevo,1,100.0,0.0,0,0,0,0,0,0,0,0,0,0,0.7340490620490616
Puebloviejo,1,100.0,0.0,0,0,0,0,0,0,0,0,0,0,0.7340490620490616
Consacá,1,100.0,0.0,5,0,0,0,0,0,0,0,0,5,0.7340490620490616
Caicedonia,1,100.0,0.0,0,0,0,0,0,0,0,0,0,0,0.7340490620490616
Subachoque,1,100.0,0.0,0,0,0,0,0,0,0,0,0,0,0.7340490620490616
Guayabetal,1,100.0,0.0,1,0,0,0,0,0,0,0,0,1,0.7340490620490616
Facatativá,1,100.0,0.0,0,0,0,0,0,0,0,0,0,0,0.7340490620490616
Providencia y Santa Catalina - Costa,1,100.0,0.0,0,0,0,0,0,0,0,0,0,0,0.7340490620490616
Restrepo,1,100.0,0.0,3,0,0,0,0,0,0,0,0,3,0.7340490620490616
Nocaima,1,100.0,0.0,0,0,0,0,0,0,0,0,0,0,0.7340490620490616
Marulanda,1,100.0,0.0,0,0,0,0,0,0,0,0,0,0,0.7340490620490616
Marmato,1,100.0,0.0,0,0,0,0,0,0,0,0,0,0,0.7340490620490616
Balboa,1,50.0,50.0,3,0,1,0,0,0,1,1,7,13,0.7133333333333334
Peque,1,57.14,28.57,0,0,0,2,0,0,1,1,0,4,0.7066666666666667
Tauramena,2,97.96,2.04,6,0,0,0,0,1,0,3,7,17,0.7066666666666667
Buenavista,1,0.0,100.0,0,0,0,0,1,0,0,0,0,1,0.6952777777777777
Quebradanegra,1,0.0,100.0,0,0,0,0,1,0,0,0,0,1,0.6952777777777777
Victoria,2,100.0,0.0,2,0,0,0,3,0,4,0,0,9,0.6897857142857142
Rovira,1,100.0,0.0,0,0,0,1,0,0,0,0,2,3,0.6858585858585858
Betania,1,100.0,0.0,0,0,0,0,0,0,2,0,0,2,0.6199974747474744
Zona Bananera,1,90.0,10.0,0,0,1,0,0,0,0,2,1,4,0.5966666666666667
El Cairo,1,0.0,100.0,0,0,0,1,0,0,0,0,1,2,0.5777222222222224
La Vega,3,66.67,33.33,1,0,1,0,0,0,1,0,0,3,0.5633333333333334
La Cumbre,1,100.0,0.0,0,0,0,0,0,0,1,0,0,1,0.5488784271284269
Rio de Oro,1,80.0,20.0,0,0,0,0,0,1,2,0,0,3,0.5013571428571428
Barranca de Upía,1,60.0,20.0,0,0,1,0,0,0,0,0,0,1,0.4666666666666667
Arboletes,1,0.0,100.0,0,0,2,0,0,0,0,0,0,2,0.46
La Peña,1,0.0,100.0,0,0,0,0,4,0,0,0,0,4,0.4597222222222222
Bugalagrande,1,0.0,100.0,0,11,0,0,0,0,0,0,0,11,0.45
Neira,1,100.0,0.0,0,0,0,0,0,0,0,0,3,3,0.4456865079365079
Abejorral,1,100.0,0.0,0,0,0,0,0,0,3,0,0,3,0.4415808080808082
Sincelejo,1,60.0,40.0,0,0,0,2,0,0,0,0,0,2,0.43333333333333335
Villeta,1,0.0,100.0,0,0,0,0,2,0,0,0,0,2,0.43305555555555564
