municipio,alertas_2017,alertas_2018,alertas_2019,alertas_2020,alertas_2021,alertas_2022,alertas_2023,alertas_2024,alertas_2025,alertas_total,riqueza_palmas,bosque_pct,agro_pct,pred_alertas_2026
San Pablo de Borbur,2,0,10,1,1,1,4,0,0,19,0.0,0.0,0.0,11.013333333333334
Salazar,0,0,0,0,1,5,7,3,14,30,0.0,0.0,0.0,10.98
La Gloria,0,1,3,3,0,0,19,6,10,42,0.0,0.0,0.0,10.946666666666667
ETI La Victoria,0,0,0,8,12,3,10,6,5,44,0.0,0.0,0.0,10.743333333333334
Albania,12,1,1,2,5,10,17,5,0,53,0.0,0.0,0.0,10.724027777777778
Buenos Aires,3,3,0,0,0,2,5,0,10,23,0.0,0.0,0.0,10.564814814814815
Córdoba,0,0,0,0,0,5,16,2,6,29,1.0,66.67,33.33,10.55
Mallama,2,0,4,0,0,2,8,1,2,19,0.0,0.0,0.0,9.973333333333333
Maicao,0,5,8,0,0,0,46,1,0,60,0.0,0.0,0.0,9.846666666666666
Aguachica,0,0,5,2,1,2,7,1,3,21,0.0,0.0,0.0,9.821777777777777
Medellín,0,0,0,0,0,0,5,13,0,18,7.0,30.0,40.0,9.73
Acacías,8,0,11,0,0,0,0,0,0,19,0.0,0.0,0.0,9.656620753054622
Barranco de Loba,0,0,26,3,3,0,31,7,0,70,0.0,0.0,0.0,9.605238095238095
Gómez Plata,0,0,1,4,0,0,2,0,0,7,0.0,0.0,0.0,9.517120370370371
San Martín de Loba,0,0,67,1,6,2,68,4,2,150,1.0,0.0,0.0,9.443333333333333
Toluviejo,0,1,1,0,0,7,7,2,0,18,1.0,0.0,100.0,8.892222222222221
Contratación,0,0,0,0,0,6,5,0,3,14,0.0,0.0,0.0,8.8775
Labranzagrande,6,0,0,0,0,1,0,0,21,28,0.0,0.0,0.0,8.793333333333333
Pauna,1,0,2,5,1,1,5,1,6,22,0.0,0.0,0.0,8.78111111111111
La Jagua del Pilar,0,2,2,0,0,0,2,0,4,10,1.0,100.0,0.0,8.387999999999998
Altos del Rosario,0,0,20,1,5,0,32,8,0,66,0.0,0.0,0.0,8.256666666666666
Valdivia,3,0,5,2,3,0,7,0,0,20,0.0,0.0,0.0,8.239325396825395
Pelaya,0,2,3,1,0,1,10,12,0,29,0.0,0.0,0.0,8.208
El Molino,0,0,0,1,0,0,6,0,16,23,0.0,0.0,0.0,8.193333333333333
Maceo,0,0,0,0,0,2,10,3,2,17,1.0,100.0,0.0,7.83
Cubarral,6,1,5,0,0,0,1,24,2,39,0.0,0.0,0.0,7.63
Balboa,3,0,1,0,0,0,1,1,7,13,1.0,50.0,50.0,7.547222222222222
Retiro,2,0,0,3,0,4,5,9,0,23,2.0,0.0,100.0,7.44
Aguazul,1,0,0,0,0,2,0,9,7,19,1.0,100.0,0.0,7.365
Charta,0,2,0,0,0,0,0,3,5,10,0.0,0.0,0.0,7.181312530062529
Villahermosa,1,0,1,0,0,0,0,0,15,17,0.0,0.0,0.0,7.086666666666667
