municipio,alertas_2017,alertas_2018,alertas_2019,alertas_2020,alertas_2021,alertas_2022,alertas_2023,alertas_2024,alertas_2025,alertas_total,riqueza_palmas,bosque_pct,agro_pct,pred_alertas_2026
Usiacurí,0,0,1,0,0,1,0,0,0,2,0.0,0.0,0.0,0.04356197352587245
Luruaco,0,0,0,1,0,1,0,0,0,2,0.0,0.0,0.0,0.043333333333333335
Isnos,0,0,0,0,0,0,0,1,0,1,2.0,100.0,0.0,0.036037157287157284
Guayabal de Síquima,0,0,0,0,0,0,0,0,0,0,1.0,0.0,100.0,0.03603677868515097
Momil,0,0,0,0,0,0,0,0,0,0,1.0,0.0,100.0,0.03603677868515097
Barbosa,0,0,0,0,0,0,0,0,0,0,1.0,0.0,100.0,0.03603677868515097
Quimbaya,0,0,0,0,0,0,0,0,0,0,1.0,0.0,100.0,0.03603677868515097
Vijes,0,0,0,0,0,0,0,0,0,0,1.0,0.0,100.0,0.03603677868515097
Cartago,0,0,0,0,0,0,0,0,0,0,1.0,0.0,100.0,0.03603677868515097
Cereté,0,0,0,0,0,0,0,0,0,0,1.0,0.0,100.0,0.03603677868515097
San Benito Abad,0,0,0,0,0,0,0,0,0,0,1.0,0.0,100.0,0.03603677868515097
Madrid,0,0,0,0,0,0,0,0,0,0,1.0,0.0,100.0,0.03603677868515097
Filadelfia,1,0,0,0,0,0,0,0,0,1,1.0,0.0,100.0,0.03603677868515097
Galeras,0,0,0,0,0,0,0,0,0,0,1.0,0.0,100.0,0.03603677868515097
Silvania,1,0,0,0,0,0,0,0,0,1,1.0,0.0,100.0,0.03603677868515097
Supatá,0,0,0,0,0,0,0,0,0,0,1.0,0.0,100.0,0.03603677868515097
Andalucía,0,0,0,0,0,0,0,0,0,0,1.0,0.0,100.0,0.03603677868515097
Soatá,0,0,0,0,0,0,0,0,0,0,1.0,0.0,100.0,0.03603677868515097
Moniquirá,1,0,0,0,0,0,0,0,0,1,1.0,0.0,100.0,0.03603677868515097
Guacarí,1,0,0,0,0,0,0,0,0,1,1.0,0.0,100.0,0.03603677868515097
Sincé,0,0,0,0,0,0,0,0,0,0,1.0,0.0,100.0,0.03603677868515097
Murillo,5,0,0,0,0,0,0,0,0,5,1.0,0.0,100.0,0.03603677868515097
Angostura,3,0,0,0,0,0,0,0,0,3,1.0,0.0,100.0,0.03603677868515097
Chinavita,0,0,0,0,0,0,0,0,0,0,1.0,0.0,100.0,0.03603677868515097
Tarqui,0,0,0,0,0,0,0,0,0,0,1.0,0.0,100.0,0.03603677868515097
Chinú,0,0,0,0,0,0,0,0,0,0,1.0,0.0,100.0,0.03603677868515097
Tenjo,1,0,0,0,0,0,0,0,0,1,1.0,0.0,100.0,0.03603677868515097
Guaca,0,0,0,0,0,0,0,0,0,0,1.0,0.0,100.0,0.03603677868515097
Fusagasugá,0,0,0,0,0,0,0,0,0,0,1.0,0.0,100.0,0.03603677868515097
El Rosal,0,0,0,0,0,0,0,0,0,0,1.0,0.0,100.0,0.03603677868515097
Cota,0,0,0,0,0,0,0,0,0,0,1.0,0.0,100.0,0.03603677868515097
Guática,0,0,0,0,0,0,0,0,0,0,1.0,0.0,100.0,0.03603677868515097
Ulloa,0,0,0,0,0,0,0,0,0,0,1.0,0.0,100.0,0.03603677868515097
Funza,0,0,0,0,0,0,0,0,0,0,1.0,0.0,100.0,0.03603677868515097
Pasca,0,0,0,0,0,0,0,0,0,0,1.0,0.0,100.0,0.03603677868515097
Aratoca,0,0,0,0,0,0,0,0,0,0,1.0,0.0,100.0,0.03603677868515097
Pachavita,0,0,0,0,0,0,0,0,0,0,1.0,0.0,100.0,0.03603677868515097
Gachalá,13,0,0,0,0,0,0,0,0,13,1.0,0.0,100.0,0.03603677868515097
Yumbo,0,0,0,0,0,0,0,0,0,0,1.0,0.0,100.0,0.03603677868515097
Carolina,0,0,0,0,0,0,0,0,0,0,1.0,0.0,100.0,0.03603677868515097
Tocaima,0,0,0,0,0,0,0,0,0,0,1.0,0.0,100.0,0.03603677868515097
Herrán,0,0,0,0,0,0,0,0,0,0,1.0,0.0,100.0,0.03603677868515097
La Tebaida,0,0,0,0,0,0,0,0,0,0,1.0,0.0,100.0,0.03603677868515097
Soacha,0,0,0,0,0,0,0,0,0,0,1.0,0.0,100.0,0.03603677868515097
Girardota,1,0,0,0,0,0,0,0,0,1,1.0,0.0,100.0,0.03603677868515097
Vergara,1,0,0,0,0,0,0,0,0,1,1.0,0.0,100.0,0.03603677868515097
Quinchía,0,0,0,0,0,0,0,0,0,0,1.0,0.0,100.0,0.03603677868515097
Ebéjico,0,0,0,0,0,0,0,0,0,0,1.0,0.0,100.0,0.03603677868515097
Bojacá,0,0,0,0,0,0,0,0,0,0,1.0,0.0,100.0,0.03603677868515097
Saladoblanco,0,0,0,0,0,0,0,0,0,0,1.0,0.0,100.0,0.03603677868515097
Rondón,0,0,0,0,0,0,0,0,0,0,1.0,0.0,100.0,0.03603677868515097
El Banco,0,0,0,0,0,0,0,0,0,0,1.0,0.0,100.0,0.03603677868515097
Hato,2,0,0,0,0,0,0,2,0,4,2.0,100.0,0.0,0.03251190476190476
Yarumal,0,0,0,0,0,0,1,0,0,1,3.0,0.0,100.0,0.03
Montería,0,0,0,0,0,0,0,2,0,2,1.0,0.0,100.0,0.028162360250497745
Guadalupe,0,0,0,0,0,0,0,2,0,2,1.0,0.0,100.0,0.028162360250497745
Providencia y Santa Catalina,0,0,0,0,0,0,0,0,0,0,1.0,86.96,8.7,0.02423015873015873
Algeciras,0,0,0,0,0,0,3,0,0,3,0.0,0.0,0.0,0.02029090909090909
Manizales,0,0,0,0,0,0,0,0,0,0,6.0,47.37,36.84,0.02
La Ceja,1,0,0,0,0,0,1,0,0,2,1.0,0.0,100.0,0.017395824981431808
La Estrella,0,0,0,0,0,0,1,0,0,1,1.0,0.0,100.0,0.017395824981431808
Santuario,0,0,0,0,0,0,1,0,0,1,1.0,0.0,100.0,0.017395824981431808
Santa Rosa de Osos,4,0,0,0,0,0,0,0,0,4,4.0,60.0,40.0,0.016666666666666666
San Juanito,0,0,0,0,0,0,0,0,0,0,3.0,86.49,13.51,0.01411111111111111
Chámeza,0,0,0,0,0,0,0,2,0,2,0.0,0.0,0.0,0.013333333333333334
Nemocón,0,0,0,0,0,0,0,4,0,4,0.0,0.0,0.0,0.013333333333333334
Tamalameque,0,0,0,0,0,0,0,2,0,2,0.0,0.0,0.0,0.013333333333333334
Villamaría,0,0,0,0,0,0,0,2,0,2,1.0,40.0,60.0,0.013333333333333334
Fuente de Oro,3,0,0,0,0,0,0,0,2,5,0.0,0.0,0.0,0.012222222222222221
Aquitania,0,0,0,0,0,0,0,0,2,2,0.0,0.0,0.0,0.012222222222222221
Alejandría,0,0,0,0,0,0,0,0,2,2,0.0,0.0,0.0,0.012222222222222221
La Salina,2,0,0,0,0,0,0,0,2,4,0.0,0.0,0.0,0.012222222222222221
Honda,1,0,0,0,0,0,0,0,2,3,0.0,0.0,0.0,0.012222222222222221
Salento,1,0,0,0,0,0,0,0,0,1,5.0,39.82,52.21,0.01
Palmira,0,0,0,0,0,0,0,0,0,0,4.0,33.33,66.67,0.01
Turbaco,0,0,0,0,0,0,0,0,0,0,4.0,0.0,58.33,0.01
Yotoco,0,0,0,0,0,0,1,0,0,1,1.0,0.0,0.0,0.01
Guarne,0,0,0,0,0,0,0,0,0,0,4.0,16.67,66.67,0.01
Ayapel,0,0,0,0,0,1,0,0,0,1,1.0,0.0,100.0,0.008722134646498519
Guataquí,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0077682630490114
Nimaima,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0077682630490114
Entrerríos,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0077682630490114
Chitaraque,0,0,0,0,2,0,0,0,0,2,0.0,0.0,0.0,0.0077682630490114
Útica,1,0,0,0,2,0,0,0,0,3,0.0,0.0,0.0,0.0077682630490114
Rivera,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0077682630490114
Jordán,0,0,0,0,2,0,0,0,0,2,0.0,0.0,0.0,0.0077682630490114
Topaipí,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0077682630490114
Ambalema,0,0,0,0,2,0,0,0,0,2,0.0,0.0,0.0,0.0077682630490114
Dolores,1,0,0,0,1,0,0,0,0,2,0.0,0.0,0.0,0.0077682630490114
San José de Pare,0,0,0,0,1,1,0,0,0,2,0.0,0.0,0.0,0.006791147994467496
Campamento,0,0,0,0,2,1,0,0,0,3,0.0,0.0,0.0,0.006791147994467496
Togüí,0,0,0,0,2,1,0,0,0,3,0.0,0.0,0.0,0.006791147994467496
Santana,0,0,0,0,1,1,0,0,0,2,0.0,0.0,0.0,0.006791147994467496
Puerres,1,0,0,0,1,1,0,2,0,5,0.0,0.0,0.0,0.006666666666666667
Jesús María,0,0,0,0,2,0,0,2,0,4,0.0,0.0,0.0,0.006666666666666667
Buga,0,0,0,0,0,0,0,0,0,0,1.0,50.0,41.67,0.006666666666666667
Garagoa,0,0,0,0,0,0,0,0,0,0,2.0,40.0,40.0,0.006666666666666667
Arcabuco,0,0,0,0,0,0,0,0,0,0,4.0,57.14,42.86,0.0033333333333333335
"Bogotá, D.C.",0,0,0,0,0,0,0,0,0,0,4.0,21.15,21.15,0.0033333333333333335
Pereira,2,0,0,0,0,0,0,0,0,2,4.0,53.66,14.63,0.0033333333333333335
Támesis,0,0,0,0,0,0,0,0,0,0,4.0,50.0,50.0,0.0033333333333333335
Planeta Rica,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.002666666666666667
Ocamonte,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.002666666666666667
Herveo,1,0,0,1,0,0,0,0,0,2,0.0,0.0,0.0,0.002666666666666667
Pamplonita,1,0,0,1,0,0,0,0,0,2,0.0,0.0,0.0,0.002666666666666667
Santa Catalina,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.002666666666666667
Cunday,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.002666666666666667
Vianí,1,0,0,0,0,0,0,0,0,1,2.0,0.0,100.0,0.0021194798928669896
Supia,0,0,0,0,0,0,0,0,0,0,2.0,0.0,100.0,0.0021194798928669896
Montenegro,0,0,0,0,0,0,0,0,0,0,2.0,0.0,100.0,0.0021194798928669896
Copacabana,0,0,0,0,0,0,0,0,0,0,2.0,0.0,100.0,0.0021194798928669896
Anzá,0,0,0,0,0,0,1,0,0,1,0.0,0.0,0.0,0.0007525550578273431
La Celia,0,0,0,0,0,0,1,0,0,1,0.0,0.0,0.0,0.0007525550578273431
Arjona,0,0,0,0,0,0,1,0,0,1,0.0,0.0,0.0,0.0007525550578273431
Buriticá,0,0,0,0,0,0,1,0,0,1,0.0,0.0,0.0,0.0007525550578273431
Pueblorrico,0,0,0,0,0,0,1,0,0,1,0.0,0.0,0.0,0.0007525550578273431
Arroyohondo,0,0,0,0,0,0,1,0,0,1,0.0,0.0,0.0,0.0007525550578273431
Aguadas,0,0,0,0,0,0,1,0,0,1,0.0,0.0,0.0,0.0007525550578273431
San José,0,0,0,0,0,0,1,0,0,1,0.0,0.0,0.0,0.0007525550578273431
Marsella,0,0,0,0,0,0,1,0,0,1,0.0,0.0,0.0,0.0007525550578273431
Aguada,0,0,0,0,0,0,1,0,0,1,0.0,0.0,0.0,0.0007525550578273431
San Gil,0,0,0,0,0,0,1,0,0,1,0.0,0.0,0.0,0.0007525550578273431
Galán,0,0,0,0,0,0,1,0,0,1,0.0,0.0,0.0,0.0007525550578273431
Puente Nacional,0,0,0,0,0,0,1,0,0,1,0.0,0.0,0.0,0.0007525550578273431
Curití,0,0,0,0,0,0,1,0,0,1,0.0,0.0,0.0,0.0007525550578273431
Villa de Leiva,0,0,0,0,0,0,0,0,0,0,2.0,0.0,80.0,0.0004928315412186379
Guavatá,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0003531215203399394
Montebello,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0003531215203399394
Palmas del Socorro,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0003531215203399394
Santa Fe de Antioquia,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0003531215203399394
Hispania,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0003531215203399394
Chachagüí,1,0,0,0,0,1,0,0,0,2,0.0,0.0,0.0,0.0003531215203399394
Circasia,0,0,0,0,0,0,0,0,0,0,3.0,0.0,100.0,0.00020833333333333335
Sahagún,0,0,0,0,0,0,0,0,0,0,3.0,0.0,100.0,0.00020833333333333335
Salamina,1,0,0,0,0,0,0,0,0,1,1.0,33.33,66.67,0.00011904761904761905
Caramanta,0,0,0,0,0,0,0,0,0,0,1.0,33.33,66.67,0.00011904761904761905
Boyacá,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0
Juradó - Costa,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0
Guatapé,0,0,0,0,0,0,0,0,0,0,2.0,0.0,50.0,0.0
Distracción,0,0,0,0,0,0,0,1,0,1,0.0,0.0,0.0,0.0
Roncesvalles,1,0,0,0,0,0,0,0,0,1,1.0,33.33,33.33,0.0
Palestina,0,0,0,0,0,1,0,0,0,1,2.0,0.0,50.0,0.0
Génova,0,0,0,0,0,0,0,0,0,0,2.0,25.0,75.0,0.0
Puerto Colombia,0,0,0,0,0,0,0,1,0,1,0.0,0.0,0.0,0.0
Oiba,0,0,0,0,0,0,0,1,0,1,0.0,0.0,0.0,0.0
Armenia,0,0,0,0,0,0,0,0,0,0,3.0,0.0,33.33,0.0
Sasaima,0,0,0,0,0,0,0,0,0,0,3.0,0.0,92.31,0.0
Palocabildo,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0
Ciénaga de Oro,0,0,0,0,0,0,0,0,0,0,1.0,50.0,50.0,0.0
Falan,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0
Belmira,1,0,0,0,0,0,0,0,0,1,3.0,38.46,0.0,0.0
Marinilla,0,0,0,0,0,0,0,0,0,0,2.0,50.0,50.0,0.0
Belalcazar,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0
La Calera,0,0,0,0,0,0,0,0,0,0,2.0,71.43,14.29,0.0
Paratebueno,1,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0
Envigado,0,0,0,0,0,0,0,0,0,0,2.0,50.0,50.0,0.0
Pijao,0,0,0,0,0,0,0,0,0,0,3.0,25.0,50.0,0.0
Pueblo Nuevo,0,0,0,0,0,0,0,0,0,0,2.0,25.0,75.0,0.0
San Pelayo,0,0,0,0,0,0,0,0,0,0,2.0,8.33,91.67,0.0
Puerto Salgar,0,0,0,0,0,0,0,0,0,0,3.0,2.94,97.06,0.0
El Cerrito,0,0,0,0,0,0,0,0,0,0,2.0,67.74,29.03,0.0
Filandia,0,0,0,0,0,0,0,0,0,0,2.0,27.27,36.36,0.0
Aranzazu,0,0,0,0,0,0,0,0,0,0,1.0,50.0,50.0,0.0
Gamarra,0,0,0,0,0,0,0,0,0,0,2.0,0.0,0.0,0.0
Garzón,0,0,0,0,0,0,0,0,0,0,2.0,66.67,33.33,0.0
Cerinza,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0
San Antonio del Tequendama,0,0,0,0,0,0,0,0,0,0,3.0,50.0,50.0,0.0
San José de La Montaña,0,0,0,0,0,0,0,0,0,0,3.0,8.33,91.67,0.0
Calarcá,0,0,0,0,0,0,0,0,0,0,2.0,12.5,50.0,0.0
San Marcos,0,0,0,0,0,0,0,0,0,0,1.0,0.0,50.0,0.0
Canalete,0,0,0,0,0,0,0,0,0,0,1.0,50.0,50.0,0.0
Pacho,2,0,0,0,0,0,0,0,0,2,2.0,33.33,66.67,0.0
Talaigua Nuevo,0,0,0,0,0,0,0,0,0,0,2.0,0.0,0.0,0.0
Tununguá,0,0,0,0,0,0,0,1,0,1,0.0,0.0,0.0,0.0
Tena,0,0,0,0,0,0,0,0,0,0,2.0,50.0,50.0,0.0
Suaza,0,0,0,0,0,0,0,1,0,1,0.0,0.0,0.0,0.0
Pinchote,0,0,0,0,0,1,0,0,1,2,0.0,0.0,0.0,0.0
La Victoria,0,0,0,0,0,0,0,0,0,0,1.0,50.0,50.0,0.0
Los Córdobas,0,0,0,0,0,0,0,0,0,0,1.0,50.0,50.0,0.0
Chiscas,0,0,0,0,0,0,0,1,0,1,0.0,0.0,0.0,0.0
Santa Isabel,1,0,0,0,0,0,0,0,0,1,2.0,50.0,0.0,0.0
Sibundoy,0,0,0,0,0,0,0,0,0,0,2.0,54.55,36.36,0.0
Guaduas,1,0,0,0,0,0,0,0,0,1,3.0,25.0,75.0,0.0
Muzo,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0
Cómbita,0,0,0,0,0,0,0,1,0,1,0.0,0.0,0.0,0.0
San Miguel de Sema,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0
San Vicente,1,0,0,0,0,0,0,0,0,1,3.0,25.0,75.0,0.0
La Plata,4,0,0,0,0,0,0,0,0,4,2.0,40.0,60.0,0.0
San Carlos de Guaroa,2,0,0,0,0,0,0,0,1,3,0.0,0.0,0.0,0.0
Armero,1,0,0,0,0,0,0,0,1,2,0.0,0.0,0.0,0.0
Confines,1,0,0,0,0,1,1,0,0,3,0.0,0.0,0.0,0.0
Molagavita,1,0,0,0,0,0,0,1,0,2,0.0,0.0,0.0,0.0
Líbano,1,0,0,0,0,0,0,0,1,2,0.0,0.0,0.0,0.0
Cajamarca,0,0,0,0,0,0,0,0,0,0,3.0,19.57,80.43,0.0
Castilla La Nueva,2,0,0,0,0,0,0,1,0,3,0.0,0.0,0.0,0.0
Chivor,3,0,0,0,0,0,0,0,1,4,0.0,0.0,0.0,0.0
Tota,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0
Tolú,0,0,0,0,0,0,0,0,0,0,2.0,33.33,66.67,0.0
San Antero,3,0,0,0,0,0,0,1,0,4,0.0,0.0,0.0,0.0
Mongua,6,0,0,0,0,0,0,0,1,7,0.0,0.0,0.0,0.0
Villavicencio,9,0,0,0,0,0,0,0,0,9,2.0,50.0,50.0,0.0
Jardín,0,0,0,0,0,0,0,0,0,0,3.0,77.78,22.22,0.0
Viterbo,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0
