departamento,municipio,riqueza_especies,especies_CR,especies_EN,especies_VU,indice_amenaza,indice_biodiversidad,pct_bosque,pct_palma,pct_agro,pct_otras,anp,resguardo,dist_glad_media,glad_presion
Quindío,Filandia,2,0,2,0,4,8,0.1,0.0,0.7666666666666667,0.1333333333333333,0,0,13739.166666666668,7.277932096893535e-05
Quindío,Génova,2,0,0,2,2,4,0.25,0.0,0.75,0.0,0,0,9298.5,0.00010753266304640035
Quindío,La Tebaida,1,0,1,0,2,2,0.0,0.0,1.0,0.0,0,0,17374.3,5.7552963114305946e-05
Quindío,Montenegro,2,0,2,0,4,8,0.0,0.0,1.0,0.0,0,0,23583.899999999998,4.240001017600244e-05
Quindío,Pijao,3,0,2,1,5,15,0.25,0.0,0.5,0.25,0,0,3489.475,0.00028649395855864893
Quindío,Quimbaya,1,0,1,0,2,2,0.0,0.0,1.0,0.0,0,0,30689.8,3.2583054205168975e-05
Quindío,Salento,5,0,3,2,8,40,0.19736842105263158,0.0,0.6885964912280702,0.11403508771929816,1,0,18326.36447368421,5.4563218919767445e-05
Risaralda,Balboa,1,0,0,1,1,1,0.5,0.0,0.5,0.0,0,0,12508.85,7.99370096364065e-05
Risaralda,Guática,1,0,1,0,2,2,0.0,0.0,1.0,0.0,0,0,5933.0,0.00016852039096730705
Risaralda,Mistrató,2,0,2,0,4,8,1.0,0.0,0.0,0.0,0,1,2735.9999999999995,0.0003653635367190355
Risaralda,Pereira,4,0,3,1,7,28,0.8741721854304636,0.0,0.033112582781456956,0.09271523178807944,1,0,20934.49271523179,4.776577334969727e-05
Risaralda,Quinchía,1,0,1,0,2,2,0.0,0.0,1.0,0.0,0,0,16862.0,5.930142916444286e-05
Risaralda,Santa Rosa de Cabal,4,0,3,1,7,28,0.5714285714285714,0.0,0.18181818181818182,0.24675324675324678,1,0,8261.274025974026,0.00012103205447511306
San Andres y Providencia,Providencia y Santa Catalina,1,0,1,0,2,2,0.9625,0.0,0.025,0.012499999999999976,0,0,682749.605,1.464663660019752e-06
San Andres y Providencia - Costa,Providencia y Santa Catalina - Costa,1,0,1,0,2,2,1.0,0.0,0.0,0.0,1,0,681810.4,1.466681255256219e-06
Santander,Aratoca,1,0,0,1,1,1,0.0,0.0,1.0,0.0,0,0,22403.1,4.463468740096679e-05
