LEVEL_3,alertas_2017,alertas_2018,alertas_2019,alertas_2020,alertas_2021,alertas_2022,alertas_2023,alertas_2024,alertas_2025,alertas_total
Mistrató,0,1,2,0,1,0,2,0,4,10
La Jagua del Pilar,0,2,2,0,0,0,2,0,4,10
Yopal,4,0,0,0,1,0,0,3,2,10
Jamundí,0,1,0,0,0,0,4,5,0,10
Cucutilla,0,0,2,1,0,3,2,1,1,10
Coromoro,0,0,0,0,0,4,1,0,5,10
Charta,0,2,0,0,0,0,0,3,5,10
Chinácota,2,0,0,0,0,1,2,1,4,10
El Tablón,1,0,0,0,0,5,0,0,3,9
La Playa,3,0,0,0,0,1,2,0,3,9
Patía,3,0,0,0,0,0,3,0,3,9
Fresno,0,0,2,0,0,0,0,0,7,9
Beltrán,3,0,0,0,0,0,0,6,0,9
Nueva Granada,0,0,0,0,0,0,0,0,9,9
Neiva,7,0,0,0,0,0,2,0,0,9
Santa María,6,0,0,0,0,0,0,0,3,9
Victoria,2,0,0,0,3,0,4,0,0,9
Villavicencio,9,0,0,0,0,0,0,0,0,9
La Llanada,5,0,0,0,1,1,2,0,0,9
Acevedo,7,0,0,0,0,2,0,0,0,9
Norcasia,1,0,0,0,5,0,1,2,0,9
Chitagá,4,0,0,0,0,2,2,0,0,8
Venecia,0,0,0,0,0,0,1,7,0,8
Regidor,0,0,3,0,0,1,4,0,0,8
Túquerres,8,0,0,0,0,0,0,0,0,8
Bochalema,1,0,0,0,0,4,1,2,0,8
Manaure Balcón del Cesar,0,1,1,3,0,0,0,3,0,8
Los Palmitos,0,0,0,0,0,0,7,0,1,8
Anzoátegui,2,0,0,1,0,0,0,0,5,8
Pivijay,0,0,0,0,0,0,0,8,0,8
Funes,0,0,0,0,0,8,0,0,0,8
Necoclí,0,0,5,0,0,2,1,0,0,8
Tubará,5,0,1,0,0,2,0,0,0,8
Ríofrío,1,3,0,0,0,0,2,0,2,8
Gramalote,0,0,1,1,0,0,0,2,3,7
Tenerife,0,0,4,1,0,0,2,0,0,7
Cajibío,0,0,0,0,0,3,4,0,0,7
Ubalá,7,0,0,0,0,0,0,0,0,7
Angelópolis,0,0,0,0,0,0,1,6,0,7
Villanueva,1,0,0,0,0,0,1,5,0,7
Caldas,0,0,0,0,0,0,6,1,0,7
Páez,2,0,0,1,0,0,0,1,3,7
Ciudad Bolívar,0,0,0,0,0,2,5,0,0,7
Onzaga,1,0,0,0,0,2,0,3,1,7
Potosí,1,0,0,0,0,6,0,0,0,7
Monterrey,1,0,0,0,0,6,0,0,0,7
Gómez Plata,0,0,1,4,0,0,2,0,0,7
Sevilla,0,4,1,0,2,0,0,0,0,7
Mongua,6,0,0,0,0,0,0,0,1,7
Nariño,2,0,2,0,0,0,2,0,0,6
San Diego,0,0,1,0,0,1,3,0,1,6
Piojó,0,0,1,0,0,5,0,0,0,6
Cravo Norte,4,0,1,1,0,0,0,0,0,6
Villa Caro,0,0,0,0,1,0,2,3,0,6
San Luis de Gaceno,3,0,1,0,0,0,0,0,2,6
San Jerónimo,6,0,0,0,0,0,0,0,0,6
Santa Bárbara de Pinto,0,0,0,0,0,0,0,6,0,6
Remolino,0,0,0,5,0,0,0,1,0,6
Pulí,6,0,0,0,0,0,0,0,0,6
Suratá,0,0,0,0,0,2,3,0,1,6
Duitama,0,0,0,0,0,0,0,6,0,6
Consacá,5,0,0,0,0,0,0,0,0,5
Achí,0,0,1,3,0,0,1,0,0,5
La Unión,0,0,0,0,0,5,0,0,0,5
Mogotes,0,0,0,0,0,3,1,1,0,5
Murillo,5,0,0,0,0,0,0,0,0,5
Caicedo,0,0,1,2,0,0,2,0,0,5
Buesaco,1,0,0,0,0,1,1,0,2,5
Paime,0,0,2,0,2,0,1,0,0,5
Granada,0,0,0,0,0,0,1,4,0,5
Fuente de Oro,3,0,0,0,0,0,0,0,2,5
San Joaquín,0,0,0,0,0,2,3,0,0,5
Sabanalarga,5,0,0,0,0,0,0,0,0,5
Suaita,1,0,0,0,1,2,0,0,1,5
Puerto Triunfo,0,0,1,0,0,2,1,0,1,5
Silvia,5,0,0,0,0,0,0,0,0,5
Puerres,1,0,0,0,1,1,0,2,0,5
Nunchía,3,0,0,0,0,1,0,0,1,5
Santa Rosa de Osos,4,0,0,0,0,0,0,0,0,4
Chivor,3,0,0,0,0,0,0,0,1,4
Sotaquirá,0,0,0,0,0,4,0,0,0,4
Zona Bananera,0,0,1,0,0,0,0,2,1,4
Junín,4,0,0,0,0,0,0,0,0,4
Villarrica,2,0,0,2,0,0,0,0,0,4
Zarzal,0,4,0,0,0,0,0,0,0,4
Jesús María,0,0,0,0,2,0,0,2,0,4
Caparrapí,0,0,0,0,1,0,0,3,0,4
San Antero,3,0,0,0,0,0,0,1,0,4
Ariguaní,0,0,2,2,0,0,0,0,0,4
El Águila,0,0,0,0,0,0,2,0,2,4
Providencia,3,0,1,0,0,0,0,0,0,4
Pitalito,0,0,0,0,0,4,0,0,0,4
Nemocón,0,0,0,0,0,0,0,4,0,4
Ortega,0,0,2,0,0,0,0,0,2,4
Pamplona,0,0,0,0,0,4,0,0,0,4
Prado,4,0,0,0,0,0,0,0,0,4
El Guacamayo,0,0,0,0,0,2,0,1,1,4
Pedraza,0,0,0,0,0,0,4,0,0,4
Piedecuesta,0,0,0,0,0,1,1,1,1,4
Peque,0,0,0,2,0,0,1,1,0,4
Hato,2,0,0,0,0,0,0,2,0,4
Mariquita,0,0,0,1,0,0,0,0,3,4
Medina,4,0,0,0,0,0,0,0,0,4
Tona,1,0,1,0,0,2,0,0,0,4
La Plata,4,0,0,0,0,0,0,0,0,4
La Salina,2,0,0,0,0,0,0,0,2,4
Hobo,4,0,0,0,0,0,0,0,0,4
La Peña,0,0,0,0,4,0,0,0,0,4
Algeciras,0,0,0,0,0,0,3,0,0,3
Carepa,0,1,0,0,0,0,1,1,0,3
Socotá,3,0,0,0,0,0,0,0,0,3
Sitionuevo,3,0,0,0,0,0,0,0,0,3
Chima,0,0,0,0,0,0,0,2,1,3
Togüí,0,0,0,0,2,1,0,0,0,3
Cabrera,0,0,0,0,0,0,0,0,3,3
Castilla La Nueva,2,0,0,0,0,0,0,1,0,3
Jerusalén,3,0,0,0,0,0,0,0,0,3
Jericó,0,0,0,0,0,1,2,0,0,3
Honda,1,0,0,0,0,0,0,0,2,3
Valle de San José,0,0,0,0,0,0,1,1,1,3
La Florida,3,0,0,0,0,0,0,0,0,3
Socorro,0,0,0,0,0,3,0,0,0,3
La Vega,1,0,1,0,0,0,1,0,0,3
Angostura,3,0,0,0,0,0,0,0,0,3
Santo Domingo,0,0,2,0,1,0,0,0,0,3
Clemencia,0,0,0,0,2,0,0,0,1,3
Andes,0,0,0,0,0,0,3,0,0,3
Rio de Oro,0,0,0,0,0,1,2,0,0,3
Restrepo,3,0,0,0,0,0,0,0,0,3
San Andrés,0,0,0,0,0,1,1,1,0,3
Rovira,0,0,0,1,0,0,0,0,2,3
Bucaramanga,0,1,0,0,0,0,0,2,0,3
Neira,0,0,0,0,0,0,0,0,3,3
Abejorral,0,0,0,0,0,0,3,0,0,3
Gigante,3,0,0,0,0,0,0,0,0,3
Gachetá,3,0,0,0,0,0,0,0,0,3
Gama,3,0,0,0,0,0,0,0,0,3
Ataco,0,0,3,0,0,0,0,0,0,3
González,0,0,0,1,0,2,0,0,0,3
Pajarito,0,0,0,0,0,0,0,0,3,3
Útica,1,0,0,0,2,0,0,0,0,3
